"Protein","term","estimate","std.error","statistic","p.value"
"CD66b","CancerTypeIC",133.931615863718,27.0330557790428,4.95436464743092,8.51700767143648e-07
"CD68","(Intercept)",270.982936824336,17.7185236847812,15.2937649685278,1.32212832166227e-47
"CD68","CancerTypeIM",-35.9171126969033,27.6656248329894,-1.29825778068365,0.19449809995174
"CD68","CancerTypeLGD",-25.6198054754589,25.026117894427,-1.02372271974169,0.306213838860955
"CD68","CancerTypeHGD",-36.0951669158351,23.3392347846454,-1.54654457392843,0.122289495710671
"CD68","CancerTypeIC",170.503509233636,24.8121060922616,6.87178704619569,1.11372070959411e-11
"CD8","(Intercept)",306.875990693136,17.084678495216,17.9620582722155,9.69992970954138e-63
"CD8","CancerTypeIM",-25.354055009101,26.6759417460305,-0.950446482845306,0.342115082165723
"CD8","CancerTypeLGD",1.77619127532715,24.1308579549942,0.0736066358949971,0.941338110948006
"CD8","CancerTypeHGD",-28.5233000829508,22.5043197567592,-1.26745888750464,0.205286315805289
"CD8","CancerTypeIC",86.6315257089164,23.9245020023638,3.6210377837899,0.000308150067335122
"CD80","(Intercept)",9.94583282446133,0.927214179611282,10.7265754160823,1.74712958633654e-25
"CD80","CancerTypeIM",3.52226262254089,1.44774813575392,2.43292499265188,0.0151518391027052
"CD80","CancerTypeLGD",1.11354222772542,1.30962216633585,0.850277474182465,0.395374368639505
"CD80","CancerTypeHGD",-0.040644569671226,1.22134720807397,-0.0332784726591558,0.973459161515086
"CD80","CancerTypeIC",-0.354502091325721,1.29842288240554,-0.273025141600207,0.784890261150864
"CTLA4","(Intercept)",22.0755352892403,1.36261985560272,16.2008025924999,1.35338894158288e-52
"CTLA4","CancerTypeIM",2.9334832031969,2.12758864032595,1.37878307281594,0.168269977870117
"CTLA4","CancerTypeLGD",-0.224527237063407,1.92460081653928,-0.116661717657971,0.907151552379058
"CTLA4","CancerTypeHGD",-5.94806829634183,1.79487328052321,-3.31392102210579,0.000952985094463268
"CTLA4","CancerTypeIC",-0.566553924126237,1.9081425192143,-0.296913840775123,0.766593948658324
"ER-alpha","(Intercept)",38.3503206145376,2.25897926656816,16.9768360347987,5.39070017917743e-57
"ER-alpha","CancerTypeIM",-7.46681856706601,3.52716027622862,-2.11694904180817,0.0345106010564801
"ER-alpha","CancerTypeLGD",-6.75676777453203,3.19064288040875,-2.11768224392021,0.0344482587503818
"ER-alpha","CancerTypeHGD",-9.1521136452908,2.97557789881587,-3.07574325274189,0.00215684490155102
